"RoleName","RoleId","Privilege","IsSystemRole"
"NTS LAN Management Team","-1997829147","ContentLibrary.ReadStorage","False"
"NTS LAN Management Team","-1997829147","Datastore.Browse","False"
"NTS LAN Management Team","-1997829147","InventoryService.Tagging.ObjectAttachable","False"
"NTS LAN Management Team","-1997829147","Network.Assign","False"
"NTS LAN Management Team","-1997829147","System.Anonymous","False"
"NTS LAN Management Team","-1997829147","System.Read","False"
"NTS LAN Management Team","-1997829147","System.View","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Config.Annotation","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Config.EditDevice","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Config.MksControl","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Config.Settings","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Config.UpgradeVirtualHardware","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Interact.AnswerQuestion","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Interact.ConsoleInteract","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Interact.DeviceConnection","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Interact.PowerOff","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Interact.PowerOn","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Interact.Reset","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Interact.SetCDMedia","False"
"NTS LAN Management Team","-1997829147","VirtualMachine.Interact.ToolsInstall","False"
"VMServicesAdministrator","-1942550507","Namespaces.Configure","False"
"VMServicesAdministrator","-1942550507","Namespaces.Manage","False"
"VMServicesAdministrator","-1942550507","System.Anonymous","False"
"VMServicesAdministrator","-1942550507","System.Read","False"
"VMServicesAdministrator","-1942550507","System.View","False"
"VMServicesAdministrator","-1942550507","VirtualMachineClasses.Manage","False"
"Unix Server Team","-1892729631","InventoryService.Tagging.ObjectAttachable","False"
"Unix Server Team","-1892729631","Network.Assign","False"
"Unix Server Team","-1892729631","System.Anonymous","False"
"Unix Server Team","-1892729631","System.Read","False"
"Unix Server Team","-1892729631","System.View","False"
"Unix Server Team","-1892729631","VirtualMachine.Config.Annotation","False"
"Unix Server Team","-1892729631","VirtualMachine.Config.Settings","False"
"Unix Server Team","-1892729631","VirtualMachine.Config.UpgradeVirtualHardware","False"
"Unix Server Team","-1892729631","VirtualMachine.Interact.AnswerQuestion","False"
"Unix Server Team","-1892729631","VirtualMachine.Interact.ConsoleInteract","False"
"Unix Server Team","-1892729631","VirtualMachine.Interact.DeviceConnection","False"
"Unix Server Team","-1892729631","VirtualMachine.Interact.PowerOff","False"
"Unix Server Team","-1892729631","VirtualMachine.Interact.PowerOn","False"
"Unix Server Team","-1892729631","VirtualMachine.Interact.Reset","False"
"Unix Server Team","-1892729631","VirtualMachine.Interact.SetCDMedia","False"
"Unix Server Team","-1892729631","VirtualMachine.Interact.ToolsInstall","False"
"ACAS Administrators","-1603805735","InventoryService.Tagging.ObjectAttachable","False"
"ACAS Administrators","-1603805735","Network.Assign","False"
"ACAS Administrators","-1603805735","System.Anonymous","False"
"ACAS Administrators","-1603805735","System.Read","False"
"ACAS Administrators","-1603805735","System.View","False"
"ACAS Administrators","-1603805735","VirtualMachine.Config.Annotation","False"
"ACAS Administrators","-1603805735","VirtualMachine.Config.UpgradeVirtualHardware","False"
"ACAS Administrators","-1603805735","VirtualMachine.Interact.AnswerQuestion","False"
"ACAS Administrators","-1603805735","VirtualMachine.Interact.ConsoleInteract","False"
"ACAS Administrators","-1603805735","VirtualMachine.Interact.DeviceConnection","False"
"ACAS Administrators","-1603805735","VirtualMachine.Interact.PowerOff","False"
"ACAS Administrators","-1603805735","VirtualMachine.Interact.PowerOn","False"
"ACAS Administrators","-1603805735","VirtualMachine.Interact.Reset","False"
"ACAS Administrators","-1603805735","VirtualMachine.Interact.SetCDMedia","False"
"ACAS Administrators","-1603805735","VirtualMachine.Interact.ToolsInstall","False"
"Storage and Backup Team","-1356242146","Datastore.AllocateSpace","False"
"Storage and Backup Team","-1356242146","Datastore.Browse","False"
"Storage and Backup Team","-1356242146","Datastore.Config","False"
"Storage and Backup Team","-1356242146","Datastore.ConfigIOManagement","False"
"Storage and Backup Team","-1356242146","Datastore.DeleteFile","False"
"Storage and Backup Team","-1356242146","Datastore.FileManagement","False"
"Storage and Backup Team","-1356242146","Datastore.UpdateVirtualMachineFiles","False"
"Storage and Backup Team","-1356242146","Datastore.UpdateVirtualMachineMetadata","False"
"Storage and Backup Team","-1356242146","Global.CancelTask","False"
"Storage and Backup Team","-1356242146","Global.DisableMethods","False"
"Storage and Backup Team","-1356242146","Global.EnableMethods","False"
"Storage and Backup Team","-1356242146","Global.GlobalTag","False"
"Storage and Backup Team","-1356242146","Global.Licenses","False"
"Storage and Backup Team","-1356242146","Global.LogEvent","False"
"Storage and Backup Team","-1356242146","Global.ManageCustomFields","False"
"Storage and Backup Team","-1356242146","Global.SetCustomField","False"
"Storage and Backup Team","-1356242146","Global.Settings","False"
"Storage and Backup Team","-1356242146","Host.Config.AdvancedConfig","False"
"Storage and Backup Team","-1356242146","Host.Config.Storage","False"
"Storage and Backup Team","-1356242146","InventoryService.Tagging.AttachTag","False"
"Storage and Backup Team","-1356242146","InventoryService.Tagging.CreateCategory","False"
"Storage and Backup Team","-1356242146","InventoryService.Tagging.CreateTag","False"
"Storage and Backup Team","-1356242146","InventoryService.Tagging.DeleteCategory","False"
"Storage and Backup Team","-1356242146","InventoryService.Tagging.DeleteTag","False"
"Storage and Backup Team","-1356242146","InventoryService.Tagging.EditCategory","False"
"Storage and Backup Team","-1356242146","InventoryService.Tagging.EditTag","False"
"Storage and Backup Team","-1356242146","InventoryService.Tagging.ObjectAttachable","False"
"Storage and Backup Team","-1356242146","NetBackup.AddRemoveServer","False"
"Storage and Backup Team","-1356242146","NetBackup.VMRecovery","False"
"Storage and Backup Team","-1356242146","Network.Assign","False"
"Storage and Backup Team","-1356242146","Resource.AssignVAppToPool","False"
"Storage and Backup Team","-1356242146","Resource.AssignVMToPool","False"
"Storage and Backup Team","-1356242146","ScheduledTask.Create","False"
"Storage and Backup Team","-1356242146","ScheduledTask.Delete","False"
"Storage and Backup Team","-1356242146","ScheduledTask.Edit","False"
"Storage and Backup Team","-1356242146","ScheduledTask.Run","False"
"Storage and Backup Team","-1356242146","StoragePod.Config","False"
"Storage and Backup Team","-1356242146","StorageViews.ConfigureService","False"
"Storage and Backup Team","-1356242146","StorageViews.View","False"
"Storage and Backup Team","-1356242146","System.Anonymous","False"
"Storage and Backup Team","-1356242146","System.Read","False"
"Storage and Backup Team","-1356242146","System.View","False"
"Storage and Backup Team","-1356242146","Task.Create","False"
"Storage and Backup Team","-1356242146","Task.Update","False"
"Storage and Backup Team","-1356242146","VApp.AssignResourcePool","False"
"Storage and Backup Team","-1356242146","VApp.AssignVApp","False"
"Storage and Backup Team","-1356242146","VApp.AssignVM","False"
"Storage and Backup Team","-1356242146","VApp.Create","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.AddExistingDisk","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.AddNewDisk","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.AddRemoveDevice","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.AdvancedConfig","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.Annotation","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.ChangeTracking","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.DiskLease","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.EditDevice","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.RawDevice","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.RemoveDisk","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.Rename","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.Resource","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.Settings","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Config.SwapPlacement","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.AnswerQuestion","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.Backup","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.ConsoleInteract","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.PowerOff","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.PowerOn","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.Reset","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.SetCDMedia","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.Suspend","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Interact.ToolsInstall","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Inventory.Create","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Inventory.CreateFromExisting","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Inventory.Delete","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Inventory.Register","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Inventory.Unregister","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Provisioning.DiskRandomAccess","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Provisioning.DiskRandomRead","False"
"Storage and Backup Team","-1356242146","VirtualMachine.Provisioning.GetVmFiles","False"
"Storage and Backup Team","-1356242146","VirtualMachine.State.CreateSnapshot","False"
"Storage and Backup Team","-1356242146","VirtualMachine.State.RemoveSnapshot","False"
"Storage and Backup Team","-1356242146","VirtualMachine.State.RevertToSnapshot","False"
"Usage Meter Read-Only","-1322332125","InventoryService.Tagging.ObjectAttachable","False"
"Usage Meter Read-Only","-1322332125","StorageProfile.View","False"
"Usage Meter Read-Only","-1322332125","System.Anonymous","False"
