RoleName,RoleId,Privilege,IsSystemRole
NTS LAN Management Team,-1997829147,ContentLibrary.ReadStorage,FALSE
NTS LAN Management Team,-1997829147,Datastore.Browse,FALSE
NTS LAN Management Team,-1997829147,InventoryService.Tagging.ObjectAttachable,FALSE
NTS LAN Management Team,-1997829147,Network.Assign,FALSE
NTS LAN Management Team,-1997829147,System.Anonymous,FALSE
NTS LAN Management Team,-1997829147,System.Read,FALSE
NTS LAN Management Team,-1997829147,System.View,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Config.Annotation,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Config.EditDevice,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Config.MksControl,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Config.Settings,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Config.UpgradeVirtualHardware,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Interact.AnswerQuestion,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Interact.ConsoleInteract,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Interact.DeviceConnection,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Interact.PowerOff,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Interact.PowerOn,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Interact.Reset,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Interact.SetCDMedia,FALSE
NTS LAN Management Team,-1997829147,VirtualMachine.Interact.ToolsInstall,FALSE
VMServicesAdministrator,-1942550507,Namespaces.Configure,FALSE
VMServicesAdministrator,-1942550507,Namespaces.Manage,FALSE
VMServicesAdministrator,-1942550507,System.Anonymous,FALSE
VMServicesAdministrator,-1942550507,System.Read,FALSE
VMServicesAdministrator,-1942550507,System.View,FALSE
VMServicesAdministrator,-1942550507,VirtualMachineClasses.Manage,FALSE
Unix Server Team,-1892729631,InventoryService.Tagging.ObjectAttachable,FALSE
Unix Server Team,-1892729631,Network.Assign,FALSE
Unix Server Team,-1892729631,System.Anonymous,FALSE
Unix Server Team,-1892729631,System.Read,FALSE
Unix Server Team,-1892729631,System.View,FALSE
Unix Server Team,-1892729631,VirtualMachine.Config.Annotation,FALSE
Unix Server Team,-1892729631,VirtualMachine.Config.Settings,FALSE
Unix Server Team,-1892729631,VirtualMachine.Config.UpgradeVirtualHardware,FALSE
Unix Server Team,-1892729631,VirtualMachine.Interact.AnswerQuestion,FALSE
Unix Server Team,-1892729631,VirtualMachine.Interact.ConsoleInteract,FALSE
Unix Server Team,-1892729631,VirtualMachine.Interact.DeviceConnection,FALSE
Unix Server Team,-1892729631,VirtualMachine.Interact.PowerOff,FALSE
Unix Server Team,-1892729631,VirtualMachine.Interact.PowerOn,FALSE
Unix Server Team,-1892729631,VirtualMachine.Interact.Reset,FALSE
Unix Server Team,-1892729631,VirtualMachine.Interact.SetCDMedia,FALSE
Unix Server Team,-1892729631,VirtualMachine.Interact.ToolsInstall,FALSE
ACAS Administrators,-1603805735,InventoryService.Tagging.ObjectAttachable,FALSE
ACAS Administrators,-1603805735,Network.Assign,FALSE
ACAS Administrators,-1603805735,System.Anonymous,FALSE
ACAS Administrators,-1603805735,System.Read,FALSE
ACAS Administrators,-1603805735,System.View,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Config.Annotation,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Config.UpgradeVirtualHardware,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Interact.AnswerQuestion,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Interact.ConsoleInteract,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Interact.DeviceConnection,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Interact.PowerOff,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Interact.PowerOn,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Interact.Reset,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Interact.SetCDMedia,FALSE
ACAS Administrators,-1603805735,VirtualMachine.Interact.ToolsInstall,FALSE
Storage and Backup Team,-1356242146,Datastore.AllocateSpace,FALSE
Storage and Backup Team,-1356242146,Datastore.Browse,FALSE
Storage and Backup Team,-1356242146,Datastore.Config,FALSE
Storage and Backup Team,-1356242146,Datastore.ConfigIOManagement,FALSE
Storage and Backup Team,-1356242146,Datastore.DeleteFile,FALSE
Storage and Backup Team,-1356242146,Datastore.FileManagement,FALSE
Storage and Backup Team,-1356242146,Datastore.UpdateVirtualMachineFiles,FALSE
Storage and Backup Team,-1356242146,Datastore.UpdateVirtualMachineMetadata,FALSE
Storage and Backup Team,-1356242146,Global.CancelTask,FALSE
Storage and Backup Team,-1356242146,Global.DisableMethods,FALSE
Storage and Backup Team,-1356242146,Global.EnableMethods,FALSE
Storage and Backup Team,-1356242146,Global.GlobalTag,FALSE
Storage and Backup Team,-1356242146,Global.Licenses,FALSE
Storage and Backup Team,-1356242146,Global.LogEvent,FALSE
Storage and Backup Team,-1356242146,Global.ManageCustomFields,FALSE
Storage and Backup Team,-1356242146,Global.SetCustomField,FALSE
Storage and Backup Team,-1356242146,Global.Settings,FALSE
Storage and Backup Team,-1356242146,Host.Config.AdvancedConfig,FALSE
Storage and Backup Team,-1356242146,Host.Config.Storage,FALSE
Storage and Backup Team,-1356242146,InventoryService.Tagging.AttachTag,FALSE
Storage and Backup Team,-1356242146,InventoryService.Tagging.CreateCategory,FALSE
Storage and Backup Team,-1356242146,InventoryService.Tagging.CreateTag,FALSE
Storage and Backup Team,-1356242146,InventoryService.Tagging.DeleteCategory,FALSE
Storage and Backup Team,-1356242146,InventoryService.Tagging.DeleteTag,FALSE
Storage and Backup Team,-1356242146,InventoryService.Tagging.EditCategory,FALSE
Storage and Backup Team,-1356242146,InventoryService.Tagging.EditTag,FALSE
Storage and Backup Team,-1356242146,InventoryService.Tagging.ObjectAttachable,FALSE
Storage and Backup Team,-1356242146,NetBackup.AddRemoveServer,FALSE
Storage and Backup Team,-1356242146,NetBackup.VMRecovery,FALSE
Storage and Backup Team,-1356242146,Network.Assign,FALSE
Storage and Backup Team,-1356242146,Resource.AssignVAppToPool,FALSE
Storage and Backup Team,-1356242146,Resource.AssignVMToPool,FALSE
Storage and Backup Team,-1356242146,ScheduledTask.Create,FALSE
Storage and Backup Team,-1356242146,ScheduledTask.Delete,FALSE
Storage and Backup Team,-1356242146,ScheduledTask.Edit,FALSE
Storage and Backup Team,-1356242146,ScheduledTask.Run,FALSE
Storage and Backup Team,-1356242146,StoragePod.Config,FALSE
Storage and Backup Team,-1356242146,StorageViews.ConfigureService,FALSE
Storage and Backup Team,-1356242146,StorageViews.View,FALSE
Storage and Backup Team,-1356242146,System.Anonymous,FALSE
Storage and Backup Team,-1356242146,System.Read,FALSE
Storage and Backup Team,-1356242146,System.View,FALSE
Storage and Backup Team,-1356242146,Task.Create,FALSE
Storage and Backup Team,-1356242146,Task.Update,FALSE
Storage and Backup Team,-1356242146,VApp.AssignResourcePool,FALSE
Storage and Backup Team,-1356242146,VApp.AssignVApp,FALSE
Storage and Backup Team,-1356242146,VApp.AssignVM,FALSE
Storage and Backup Team,-1356242146,VApp.Create,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.AddExistingDisk,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.AddNewDisk,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.AddRemoveDevice,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.AdvancedConfig,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.Annotation,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.ChangeTracking,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.DiskLease,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.EditDevice,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.RawDevice,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.RemoveDisk,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.Rename,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.Resource,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.Settings,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Config.SwapPlacement,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.AnswerQuestion,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.Backup,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.ConsoleInteract,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.PowerOff,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.PowerOn,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.Reset,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.SetCDMedia,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.Suspend,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Interact.ToolsInstall,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Inventory.Create,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Inventory.CreateFromExisting,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Inventory.Delete,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Inventory.Register,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Inventory.Unregister,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Provisioning.DiskRandomAccess,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Provisioning.DiskRandomRead,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.Provisioning.GetVmFiles,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.State.CreateSnapshot,FALSE
Storage and Backup Team,-1356242146,VirtualMachine.State.RemoveSnapshot,FALSE
