"RoleName","RoleId","IsSystem","PrivilegeCount","Privileges"
"NTS LAN Management Team","-1997829147","False","20","ContentLibrary.ReadStorage; Datastore.Browse; InventoryService.Tagging.ObjectAttachable; Network.Assign; System.Anonymous; System.Read; System.View; VirtualMachine.Config.Annotation; VirtualMachine.Config.EditDevice; VirtualMachine.Config.MksControl; VirtualMachine.Config.Settings; VirtualMachine.Config.UpgradeVirtualHardware; VirtualMachine.Interact.AnswerQuestion; VirtualMachine.Interact.ConsoleInteract; VirtualMachine.Interact.DeviceConnection; VirtualMachine.Interact.PowerOff; VirtualMachine.Interact.PowerOn; VirtualMachine.Interact.Reset; VirtualMachine.Interact.SetCDMedia; VirtualMachine.Interact.ToolsInstall"
"VMServicesAdministrator","-1942550507","False","6","Namespaces.Configure; Namespaces.Manage; System.Anonymous; System.Read; System.View; VirtualMachineClasses.Manage"
"Unix Server Team","-1892729631","False","16","InventoryService.Tagging.ObjectAttachable; Network.Assign; System.Anonymous; System.Read; System.View; VirtualMachine.Config.Annotation; VirtualMachine.Config.Settings; VirtualMachine.Config.UpgradeVirtualHardware; VirtualMachine.Interact.AnswerQuestion; VirtualMachine.Interact.ConsoleInteract; VirtualMachine.Interact.DeviceConnection; VirtualMachine.Interact.PowerOff; VirtualMachine.Interact.PowerOn; VirtualMachine.Interact.Reset; VirtualMachine.Interact.SetCDMedia; VirtualMachine.Interact.ToolsInstall"
"ACAS Administrators","-1603805735","False","15","InventoryService.Tagging.ObjectAttachable; Network.Assign; System.Anonymous; System.Read; System.View; VirtualMachine.Config.Annotation; VirtualMachine.Config.UpgradeVirtualHardware; VirtualMachine.Interact.AnswerQuestion; VirtualMachine.Interact.ConsoleInteract; VirtualMachine.Interact.DeviceConnection; VirtualMachine.Interact.PowerOff; VirtualMachine.Interact.PowerOn; VirtualMachine.Interact.Reset; VirtualMachine.Interact.SetCDMedia; VirtualMachine.Interact.ToolsInstall"
"Storage and Backup Team","-1356242146","False","82","Datastore.AllocateSpace; Datastore.Browse; Datastore.Config; Datastore.ConfigIOManagement; Datastore.DeleteFile; Datastore.FileManagement; Datastore.UpdateVirtualMachineFiles; Datastore.UpdateVirtualMachineMetadata; Global.CancelTask; Global.DisableMethods; Global.EnableMethods; Global.GlobalTag; Global.Licenses; Global.LogEvent; Global.ManageCustomFields; Global.SetCustomField; Global.Settings; Host.Config.AdvancedConfig; Host.Config.Storage; InventoryService.Tagging.AttachTag; InventoryService.Tagging.CreateCategory; InventoryService.Tagging.CreateTag; InventoryService.Tagging.DeleteCategory; InventoryService.Tagging.DeleteTag; InventoryService.Tagging.EditCategory; InventoryService.Tagging.EditTag; InventoryService.Tagging.ObjectAttachable; NetBackup.AddRemoveServer; NetBackup.VMRecovery; Network.Assign; Resource.AssignVAppToPool; Resource.AssignVMToPool; ScheduledTask.Create; ScheduledTask.Delete; ScheduledTask.Edit; ScheduledTask.Run; StoragePod.Config; StorageViews.ConfigureService; StorageViews.View; System.Anonymous; System.Read; System.View; Task.Create; Task.Update; VApp.AssignResourcePool; VApp.AssignVApp; VApp.AssignVM; VApp.Create; VirtualMachine.Config.AddExistingDisk; VirtualMachine.Config.AddNewDisk; VirtualMachine.Config.AddRemoveDevice; VirtualMachine.Config.AdvancedConfig; VirtualMachine.Config.Annotation; VirtualMachine.Config.ChangeTracking; VirtualMachine.Config.DiskLease; VirtualMachine.Config.EditDevice; VirtualMachine.Config.RawDevice; VirtualMachine.Config.RemoveDisk; VirtualMachine.Config.Rename; VirtualMachine.Config.Resource; VirtualMachine.Config.Settings; VirtualMachine.Config.SwapPlacement; VirtualMachine.Interact.AnswerQuestion; VirtualMachine.Interact.Backup; VirtualMachine.Interact.ConsoleInteract; VirtualMachine.Interact.PowerOff; VirtualMachine.Interact.PowerOn; VirtualMachine.Interact.Reset; VirtualMachine.Interact.SetCDMedia; VirtualMachine.Interact.Suspend; VirtualMachine.Interact.ToolsInstall; VirtualMachine.Inventory.Create; VirtualMachine.Inventory.CreateFromExisting; VirtualMachine.Inventory.Delete; VirtualMachine.Inventory.Register; VirtualMachine.Inventory.Unregister; VirtualMachine.Provisioning.DiskRandomAccess; VirtualMachine.Provisioning.DiskRandomRead; VirtualMachine.Provisioning.GetVmFiles; VirtualMachine.State.CreateSnapshot; VirtualMachine.State.RemoveSnapshot; VirtualMachine.State.RevertToSnapshot"
"Usage Meter Read-Only","-1322332125","False","5","InventoryService.Tagging.ObjectAttachable; StorageProfile.View; System.Anonymous; System.Read; System.View"
"J61 CS ELM-CyberSWAT","-1194542151","False","20","ContentLibrary.ReadStorage; Datastore.Browse; InventoryService.Tagging.ObjectAttachable; Network.Assign; System.Anonymous; System.Read; System.View; VirtualMachine.Config.Annotation; VirtualMachine.Config.EditDevice; VirtualMachine.Config.MksControl; VirtualMachine.Config.Settings; VirtualMachine.Config.UpgradeVirtualHardware; VirtualMachine.Interact.AnswerQuestion; VirtualMachine.Interact.ConsoleInteract; VirtualMachine.Interact.DeviceConnection; VirtualMachine.Interact.PowerOff; VirtualMachine.Interact.PowerOn; VirtualMachine.Interact.Reset; VirtualMachine.Interact.SetCDMedia; VirtualMachine.Interact.ToolsInstall"
"J62DAA AIT Server App Admins","-1174666160","False","21","Cryptographer.Access; Cryptographer.Encrypt; Cryptographer.EncryptNew; Cryptographer.Migrate; Cryptographer.ReadKeyServersInfo; Cryptographer.RegisterVM; InventoryService.Tagging.ObjectAttachable; Network.Assign; System.Anonymous; System.Read; System.View; VirtualMachine.Config.Annotation; VirtualMachine.Config.UpgradeVirtualHardware; VirtualMachine.Interact.AnswerQuestion; VirtualMachine.Interact.ConsoleInteract; VirtualMachine.Interact.DeviceConnection; VirtualMachine.Interact.PowerOff; VirtualMachine.Interact.PowerOn; VirtualMachine.Interact.Reset; VirtualMachine.Interact.SetCDMedia; VirtualMachine.Interact.ToolsInstall"
"Remote Virtual Machine user","-1120693397","False","14","InventoryService.Tagging.ObjectAttachable; System.Anonymous; System.Read; System.View; VirtualMachine.Interact.AnswerQuestion; VirtualMachine.Interact.ConsoleInteract; VirtualMachine.Interact.DeviceConnection; VirtualMachine.Interact.PowerOff; VirtualMachine.Interact.PowerOn; VirtualMachine.Interact.Reset; VirtualMachine.Interact.SetCDMedia; VirtualMachine.Interact.SetFloppyMedia; VirtualMachine.Interact.Suspend; VirtualMachine.Interact.ToolsInstall"
"Enterprise DC Admin Team-temp","-911430357","False","52","ContentLibrary.ReadStorage; Cryptographer.Access; Cryptographer.Clone; Cryptographer.Encrypt; Cryptographer.EncryptNew; Cryptographer.Migrate; Cryptographer.RegisterHost; Cryptographer.RegisterVM; Datastore.Browse; InventoryService.Tagging.AttachTag; InventoryService.Tagging.ObjectAttachable; Network.Assign; System.Anonymous; System.Read; System.View; TrustedAdmin.ConfigureHostCertificates; TrustedAdmin.ConfigureHostMetadata; TrustedAdmin.ConfigureTokenConversionPolicy; TrustedAdmin.ManageAttestingSSO; TrustedAdmin.ManageKMSTrust; TrustedAdmin.ManageTrustedHosts; TrustedAdmin.ReadAttestingSSO; TrustedAdmin.ReadKMSTrust; TrustedAdmin.ReadStsInfo; TrustedAdmin.ReadTrustedHosts; TrustedAdmin.RetrieveHostMetadata; TrustedAdmin.RetrieveTPMHostCertificates; VirtualMachine.Config.AddRemoveDevice; VirtualMachine.Config.AdvancedConfig; VirtualMachine.Config.Annotation; VirtualMachine.Config.CPUCount; VirtualMachine.Config.Memory; VirtualMachine.Config.MksControl; VirtualMachine.Config.Settings; VirtualMachine.Config.UpgradeVirtualHardware; VirtualMachine.Interact.AnswerQuestion; VirtualMachine.Interact.ConsoleInteract; VirtualMachine.Interact.CreateScreenshot; VirtualMachine.Interact.DeviceConnection; VirtualMachine.Interact.PowerOff; VirtualMachine.Interact.PowerOn; VirtualMachine.Interact.Reset; VirtualMachine.Interact.SetCDMedia; VirtualMachine.Interact.ToolsInstall; VirtualMachine.State.CreateSnapshot; VirtualMachine.State.RemoveSnapshot; VirtualMachine.State.RenameSnapshot; VirtualMachine.State.RevertToSnapshot; vService.CreateDependency; vService.UpdateDependency; vStats.CollectAny; vStats.QueryAny"
